# Theta(rad) Phi(rad) Memory(strain)
6.499846869496124224e-01 8.519573297870625117e-01 1.358483953955467429e-26
6.499846869496124224e-01 9.584519960104452840e-01 2.244678853493839621e-26
6.499846869496124224e-01 1.064946662233828167e+00 3.057316353854598236e-26
6.499846869496124224e-01 1.171441328457210940e+00 3.744145914610515372e-26
6.499846869496124224e-01 1.277935994680593712e+00 4.287723064488915655e-26
6.499846869496124224e-01 1.384430660903976484e+00 4.694504015403811078e-26
6.499846869496124224e-01 1.490925327127359479e+00 4.954199560186669950e-26
6.499846869496124224e-01 1.597419993350742251e+00 5.025110362633066382e-26
6.499846869496124224e-01 1.703914659574125023e+00 4.853137477951006296e-26
6.499846869496124224e-01 1.810409325797507796e+00 4.534099876570189046e-26
6.499846869496124224e-01 1.916903992020890568e+00 4.034668483039790531e-26
6.499846869496124224e-01 2.023398658244273562e+00 3.367829560088166651e-26
